H,1922.00 ,D:Hitchcock,prds,st,prc,prc,cat,aw,locale,"Nt(first, all)",|,,,,,,,,,,,,
H1,1922.00 ,D:Se.Hicks,P:Lasky,"St:Famous, SD:*",sbw,Dram,aw,lc,CoD(Hitchcock),|,,,,,,,,,,,,,
H2,1922.00 ,D:Hitchcock,P:Hitchcock,"St:Islington, SD:Famous",sbw,,,,Nt(unfinished),|,,,,,,,,,,,,,
H3,1922.00 ,D:Hitchcock,P:Balcon,"St:B-S-F, SD:Wardour",sbw,Dram,,England,"CoD(Cutts) Er(same as GCt27, 1926?)",|,,,,,,,,,,,,,
H4,1924.00 ,D:Hitchcock,P:Balcon,"St:Gainsborough, SD:GaumontD",sbw,,,,CoD(Cutts),|,,,,,,,,,,,,,
H5,1925.00 ,D:Hitchcock,P:Balcon,"St:UFA, SD:Wardour",sbw,,,,CoD(Cutts),|,,,,,,,,,,,,,
H7,1925.00 ,D:Hitchcock,P:Balcon,"St:Gainsborough and Emelka, SD:Wardour",sbw,Dram,H,"Pleasure Garden, theater",Nt(released 1927) C(Ventimiglia) B(Oliver Sandys) W(Eliot Stannard),|,,,,,,,,,,,,,
H8,1926.00 ,D:Hitchcock,P:Balcon,"St:Gainsborough, Emelka, SD:Wardour",sbw,Dram,H,,Nt(no prints left) Nt(Released 1927) W(Eliot Stannard) C(Baron Ventimiglia) Alt(T:Fear O'God; USA),|,,,,,,,,,,,,,
H9,1926.00 ,D:Hitchcock,P:Balcon,"St:Gainsborough, SD:(Wardour",sbw,Susp,,"London, England","B(Mary Belloc Lowndes: The Lodger) Nt(Jack the Ripper) W(Hitchcock, Eliot Stannard) Cost(12K lbs) Nt(released 1927) C(Baron Ventimiglia) Alt(T:The Case of Jonathan Drew; USA)",|,,,,,,,,,,,,,
H10,1927.00 ,D:Hitchcock,P:Balcon,"St:Islington; Gainsborough, SD:Wardour",sbw,Susp,,,"W(Eliot Stannard) W(Ivor Novello, Constance Collier) C(Baron Ventimiglia) Er(W))",|,,,,,,,,,,,,,
